neuron_a_id,neuron_b_id,neuron_c_id,type
524290,61921,127498,SC
524290,61921,20492,SC
524290,61921,19995,SC
524290,61921,39465,SC
524290,61921,10285,SC
524290,61921,10800,SC
524290,61921,73782,SC
524290,61921,513603,SC
524290,61921,68170,SC
524290,61921,583757,SC
524290,61921,12891,BR
524290,12137,539137,BR
524290,12137,513100,BR
524290,12137,45681,BR
524290,12137,11705,BR
524290,13302,539137,BR
524290,13302,513100,BR
524290,13302,45681,BR
524290,13302,531768,BR
524292,10115,75971,BR
524290,61921,514596,VC
524290,61921,12341,VC
524290,61921,522809,VC
524290,61921,32824,VC
524290,61921,70730,VC
524290,61921,15947,VC
524290,61921,23121,VC
524290,61921,521815,VC
524290,61921,15962,VC
524290,61921,517722,VC
524290,539137,28160,VD
524290,539137,31236,VD
524290,539137,10757,VD
524290,539137,11279,VD
524290,539137,126487,VD
524290,539137,521240,VD
524290,539137,92699,VD
524290,539137,45085,VD
524290,539137,11298,VD
524290,539137,25638,VD
524290,61921,10844,FL
524290,521767,10844,FL
524290,13302,536054,FL
524292,10115,92185,FL
524292,17157,21795,FL
524292,17157,12081,FL
524292,17157,513059,FL
524292,12940,11407,FL
524292,12940,524881,FL
524292,12940,12081,FL
524296,519908,14103,FL
524296,43278,31827,FL
524296,31827,43278,FL
524296,534134,69407,FL
524296,534134,14103,FL
524296,14103,519908,FL
524296,14103,534134,FL
524296,69407,534134,FL
524298,15239,517601,FL
524298,15239,16747,FL
524296,519908,14103,FL
524296,43278,31827,FL
524296,31827,43278,FL
524296,534134,69407,FL
524296,534134,14103,FL
524296,14103,519908,FL
524296,14103,534134,FL
524296,69407,534134,FL
524298,15239,517601,FL
524298,15239,16747,FL
